X1_Horas_Actuales,X2_Frec_Semanal,X3_Horas_Fallidas,X4_Semanas_Restantes,X5_Disp_Neta_Restante,X6_Antiguedad,X7_Tipo_Carrera,X8_Beca,X9_Carrera_Id,Y_Horas_Totales_Finales
54.0,1.3333333333333333,3.0,8,50.0,2.0,0.0,0.75,0.0,169.5
7.0,0.25,11.0,8,50.0,2.0,0.0,0.5,1.0,31.0
2.5,0.08333333333333333,11.0,8,50.0,2.0,0.0,0.5,2.0,25.5
3.0,0.25,10.0,8,50.0,2.0,0.0,0.75,3.0,4.0
54.0,1.6666666666666667,5.0,8,50.0,2.0,0.0,1.0,4.0,106.0
0.0,0.0,12.0,8,50.0,2.0,0.0,0.5,5.0,3.0
5.5,0.25,10.0,8,50.0,2.0,0.0,0.5,5.0,48.0
6.0,0.16666666666666666,10.0,8,50.0,2.0,0.0,1.0,5.0,102.0
24.5,0.16666666666666666,11.0,8,50.0,2.0,0.0,0.75,5.0,75.5
7.5,0.16666666666666666,10.0,8,50.0,0.0,0.0,0.5,6.0,42.5
6.0,0.08333333333333333,11.0,8,50.0,2.0,0.0,0.5,7.0,15.0
1.5,0.08333333333333333,11.0,8,50.0,0.0,0.0,0.5,6.0,6.5
31.5,0.16666666666666666,10.0,8,50.0,2.0,0.0,0.5,8.0,65.5
8.0,0.08333333333333333,11.0,8,50.0,3.0,0.0,0.75,9.0,31.5
4.5,0.16666666666666666,11.0,8,50.0,0.0,0.0,0.5,6.0,52.5
5.5,0.25,9.0,8,50.0,2.0,0.0,0.5,10.0,45.0
4.5,0.16666666666666666,10.0,8,50.0,2.0,1.0,0.75,11.0,78.5
4.5,0.25,9.0,8,50.0,2.0,1.0,0.5,11.0,73.0
3.0,0.08333333333333333,11.0,8,50.0,2.0,1.0,1.0,11.0,77.0
12.0,0.25,10.0,8,50.0,0.0,0.0,0.5,6.0,40.5
27.5,0.5833333333333334,7.0,8,50.0,2.0,0.0,1.0,12.0,92.0
31.0,0.6666666666666666,7.0,8,50.0,1.0,0.0,0.5,1.0,89.0
38.5,1.0833333333333333,4.0,8,50.0,2.0,0.0,0.5,2.0,115.0
0.0,0.0,12.0,8,50.0,1.0,0.0,0.75,13.0,25.0
5.0,0.25,9.0,8,50.0,2.0,0.0,1.0,5.0,54.5
37.5,0.6666666666666666,6.0,8,50.0,1.0,0.0,0.9,5.0,141.5
26.5,0.75,7.0,8,50.0,2.0,0.0,0.75,5.0,57.5
3.0,0.25,9.0,8,50.0,2.0,0.0,0.5,14.0,53.5
10.0,0.25,11.0,8,50.0,2.0,0.0,0.75,15.0,22.0
8.0,0.25,10.0,8,50.0,0.0,0.0,0.5,6.0,51.0
12.0,0.5,9.0,8,50.0,1.0,0.0,0.5,16.0,50.5
14.5,0.4166666666666667,8.0,8,50.0,2.0,0.0,1.0,8.0,55.5
46.0,1.75,1.0,8,50.0,2.0,0.0,0.75,8.0,165.0
0.0,0.0,12.0,8,50.0,2.0,0.0,0.75,17.0,64.5
0.0,0.0,12.0,8,50.0,0.0,0.0,0.5,6.0,31.0
11.0,0.4166666666666667,7.0,8,50.0,1.0,0.0,0.5,18.0,42.0
3.0,0.16666666666666666,10.0,8,50.0,1.0,0.0,0.5,10.0,53.0
24.0,0.5833333333333334,6.0,8,50.0,1.0,0.0,1.0,10.0,69.0
14.5,0.5,7.0,8,50.0,1.0,0.0,0.75,10.0,54.0
11.0,0.5,8.0,8,50.0,1.0,0.0,0.5,10.0,61.5
4.5,0.25,10.0,8,50.0,2.0,0.0,1.0,10.0,50.5
2.0,0.08333333333333333,11.0,8,50.0,1.0,0.0,0.5,19.0,6.0
48.0,1.0833333333333333,4.0,8,50.0,2.0,1.0,0.75,11.0,71.5
1.0,0.08333333333333333,11.0,8,50.0,2.0,1.0,0.5,11.0,77.0
6.0,0.16666666666666666,10.0,8,50.0,2.0,1.0,0.5,11.0,51.5
11.0,0.5,7.0,8,50.0,2.0,1.0,0.75,11.0,55.5
1.5,0.08333333333333333,11.0,8,50.0,0.0,0.0,0.5,6.0,52.5
12.0,0.25,10.0,8,50.0,0.0,0.0,0.5,6.0,35.0
3.0,0.08333333333333333,11.0,8,50.0,2.0,0.0,0.75,20.0,51.0
0.0,0.0,12.0,8,50.0,0.0,0.0,1.0,21.0,49.0
10.0,0.3333333333333333,9.0,8,50.0,1.0,1.0,1.0,11.0,37.0
6.0,0.3333333333333333,10.0,8,50.0,1.0,0.0,1.0,22.0,58.0
3.0,0.08333333333333333,11.0,8,50.0,1.0,0.0,1.0,21.0,65.0
1.5,0.08333333333333333,11.0,8,50.0,1.0,0.0,1.0,23.0,62.0
0.0,0.0,12.0,8,50.0,1.0,1.0,0.75,11.0,20.0
0.0,0.0,12.0,8,50.0,1.0,1.0,0.75,11.0,49.5
8.5,0.25,9.0,8,50.0,0.0,0.0,0.75,23.0,64.5
0.0,0.0,12.0,8,50.0,1.0,0.0,0.75,24.0,39.0
7.0,0.16666666666666666,11.0,8,50.0,1.0,0.0,0.5,24.0,57.5
7.5,0.25,10.0,8,50.0,0.0,0.0,0.5,25.0,23.0
7.5,0.25,11.0,8,50.0,0.0,0.0,0.5,25.0,94.0
0.0,0.0,12.0,8,50.0,1.0,0.0,0.5,26.0,57.5
10.0,0.3333333333333333,9.0,8,50.0,1.0,1.0,0.5,11.0,62.5
0.0,0.0,12.0,8,50.0,0.0,0.0,0.5,27.0,65.5
3.5,0.16666666666666666,11.0,8,50.0,0.0,0.0,0.5,27.0,63.5
6.147858680050295,0.21488821491260532,10.721673794937018,8,50.0,0.0,0.0,0.5,25.0,88.8384908741109
11.325359937195742,0.1693186515463198,11.049111107077964,8,50.0,0.0,0.0,0.5,27.0,64.47667940393718
8.283204984086563,0.3913270028107595,8.094392559692592,8,50.0,2.0,1.0,0.75,11.0,56.754682982696664
6.065602267563814,0.13074106035951047,11.135880986012452,8,50.0,0.0,0.0,0.5,6.0,45.09993396165527
24.930641757784993,0.42786146852446244,9.153099323881221,8,50.0,2.0,0.0,0.75,5.0,64.92718429719696
5.467083301202524,0.19642882372326279,10.565638675440157,8,50.0,1.0,0.0,0.5,24.0,55.49299845184753
0.0,0.0,12.380644035874884,8,50.0,2.0,0.0,0.5,5.0,30.641882043310126
6.586062501649325,0.18356232859218427,10.153024800903847,8,50.0,2.0,1.0,1.0,11.0,70.27790033343851
3.6774734779710996,0.2055281609272854,10.1266101014034,8,50.0,2.0,0.0,1.0,10.0,53.51562862328891
6.415039158926696,0.19453888377647924,10.406056647087256,8,50.0,1.0,0.0,0.5,24.0,56.53633671121166
8.806717296154693,0.3047255136267124,9.074468303991374,8,50.0,1.0,1.0,0.5,11.0,58.76553905995332
9.269441819914812,0.3904606198179043,7.718211382236494,8,50.0,2.0,1.0,0.75,11.0,54.03073726911949
20.2448703335965,0.5638572607729282,7.207120749896036,8,50.0,2.0,0.0,1.0,12.0,78.5967673823706
12.976365061138736,0.3815867403371798,8.306314719555829,8,50.0,2.0,0.0,1.0,8.0,49.69176447650591
4.5448299533296765,0.17623746846376231,11.151102993919382,8,50.0,0.0,0.0,0.5,25.0,71.2763841947896
0.0,0.0,12.157047757524975,8,50.0,1.0,1.0,0.75,11.0,49.22496060727588
0.0,0.0,11.78234316140598,8,50.0,1.0,1.0,0.75,11.0,29.35594209694608
18.0319691911292,0.5954514679520221,8.532849554063207,8,50.0,1.0,0.0,0.5,24.0,86.98393275846661
5.598966171116033,0.21189975143758671,10.180579674320796,8,50.0,1.0,0.0,0.5,19.0,20.839212676657557
4.2105830325783895,0.18029079692965239,9.624334504816758,8,50.0,2.0,0.0,0.5,10.0,29.907109523610032
7.0883133003161305,0.3519287866714216,8.860740295236573,8,50.0,2.0,0.0,1.0,10.0,50.492698668165254
13.402070733370001,0.3787861086724997,8.14618039394237,8,50.0,2.0,0.0,0.5,14.0,83.84391425821235
18.184271891938625,0.4073733854020514,8.650043097659832,8,50.0,2.0,0.0,1.0,12.0,84.91295026468053
22.246811433520268,0.612807451821845,7.070397549551458,8,50.0,1.0,0.0,0.5,10.0,99.21599337424936
18.62087186996904,0.4492669882790616,7.129011485270649,8,50.0,1.0,0.0,1.0,10.0,78.78977651836867
1.8408992237910058,0.04408162581584232,11.945179721099823,8,50.0,2.0,0.0,0.75,17.0,63.298474177461536
24.121880036784848,0.5245521024435761,7.6532639000919485,8,50.0,2.0,0.0,1.0,12.0,80.91322989510142
9.640020331852421,0.20073629712747723,10.199253363889428,8,50.0,0.0,0.0,0.5,6.0,38.57323220718986
11.317410204339412,0.4997320565336434,8.452247110231857,8,50.0,1.0,0.0,0.5,10.0,57.154859992164624
4.594547969996065,0.14482829794596971,10.386644606716779,8,50.0,0.0,0.0,0.5,6.0,39.07267965177273
11.097353848751911,0.33151963220799735,8.788925202364227,8,50.0,2.0,0.0,1.0,8.0,54.911562722843804
8.267564677773896,0.1927052499847709,9.977456516261304,8,50.0,0.0,0.0,0.5,6.0,42.155064917846495
29.325718304247186,0.7357024447340134,6.173632860240598,8,50.0,2.0,1.0,0.75,11.0,68.48175215804011
7.336934882463103,0.33655571369166654,9.35968586207808,8,50.0,1.0,0.0,0.5,10.0,50.00241358906638
11.365497254812986,0.2699483272545202,9.850971661994143,8,50.0,1.0,0.0,1.0,21.0,75.796448004787
2.7219391179593986,0.12251516660323371,10.945004896049067,8,50.0,1.0,0.0,0.5,26.0,56.19826593002613
9.245487096542762,0.2608250117245054,10.52752065786862,8,50.0,2.0,0.0,0.75,15.0,22.749689994347456
15.81590371655895,0.30877175235258525,9.593329902805632,8,50.0,1.0,0.0,0.5,24.0,78.70888660655388
0.0,0.0,11.864580576322227,8,50.0,1.0,1.0,0.75,11.0,38.46333711733007
19.57779323496157,0.48823948713306686,7.546488840079633,8,50.0,2.0,0.0,1.0,8.0,73.3960427382848
3.4478693216274876,0.12680633899890845,10.230137868519718,8,50.0,2.0,1.0,0.75,11.0,51.05532576788535
12.140461542953386,0.3103443255512563,9.884713658840873,8,50.0,0.0,0.0,0.5,6.0,47.204466993273044
1.741581532390808,0.0661116759523527,11.077070480460817,8,50.0,1.0,1.0,0.75,11.0,61.257970295028365
36.093287633271835,1.348083346009084,3.170970934387196,8,50.0,2.0,0.0,0.75,8.0,150.94822406935134
6.212140605072606,0.2526415151733346,10.932920599643738,8,50.0,2.0,0.0,0.5,1.0,34.81171472234456
8.71051918006489,0.40332236887070383,8.8879231148878,8,50.0,1.0,0.0,0.5,16.0,60.62626219787466
5.566083607343651,0.25287889891333226,10.215274399048235,8,50.0,2.0,0.0,1.0,10.0,40.81784887788705
14.786041779639847,0.32296985100597553,9.519410862409565,8,50.0,1.0,0.0,0.75,13.0,53.8954710409685
8.291805336836486,0.2553544761566981,9.189929399620203,8,50.0,0.0,0.0,0.75,23.0,57.96840555860523
6.294613179243311,0.1915421210958002,9.63477283703704,8,50.0,2.0,0.0,0.5,10.0,41.82528909325865
2.9392653669707993,0.10088101861223236,10.849107690600402,8,50.0,1.0,1.0,0.75,11.0,50.60530556433545
4.473138940060799,0.12550210003195528,10.574546063625496,8,50.0,0.0,0.0,0.5,6.0,47.33385899145671
9.414173419574997,0.20678566813544885,10.110019011405539,8,50.0,0.0,0.0,0.5,6.0,41.278169761219615
7.576250909072695,0.2023487707359408,10.40384410760517,8,50.0,0.0,0.0,0.5,6.0,45.59433880014375
2.3050485797985183,0.08427713479952895,11.033029619481368,8,50.0,1.0,0.0,0.5,19.0,27.02850546202744
31.026891977968056,0.8474689405984557,5.713985271183802,8,50.0,2.0,0.0,0.5,2.0,95.62925195303973
25.611532452970536,0.4268763281271895,9.412803870408807,8,50.0,2.0,0.0,0.75,5.0,64.75081076855533
5.5778686256339824,0.2395655520415306,10.31593842677034,8,50.0,0.0,0.0,0.5,6.0,24.568694513404488
3.2533392842249755,0.11413014322388432,10.943027422631639,8,50.0,2.0,1.0,0.5,11.0,69.19719132147934
4.917393368503788,0.1883752948122247,9.887784959644334,8,50.0,2.0,1.0,0.5,11.0,53.11186932568195
23.658380502528253,0.6613170470292297,6.768096359130861,8,50.0,2.0,0.0,0.5,2.0,88.6129919704755
1.294308943774986,0.03660860725766767,11.43582781875565,8,50.0,0.0,0.0,0.5,27.0,62.09649397302776
29.846110394455014,0.8247569235847083,5.952102290003949,8,50.0,2.0,0.0,0.5,2.0,93.09290341206317
6.31340697089896,0.2216460501803375,11.232026647329128,8,50.0,0.0,0.0,0.5,25.0,84.74162780175057
9.389500172695335,0.2500716602992208,10.555421261925149,8,50.0,0.0,0.0,0.5,6.0,33.689278784904154
8.043187309609332,0.2504284358070168,9.814915074788082,8,50.0,0.0,0.0,0.5,6.0,25.25642041481585
38.69621378258907,1.4053484476958036,2.960914537907624,8,50.0,2.0,0.0,0.75,8.0,135.88758348538886
3.1247951243125245,0.14180719904843786,11.046569395433682,8,50.0,0.0,0.0,1.0,21.0,52.25667870461403
26.605723017634773,0.598769016260465,7.476645460255172,8,50.0,2.0,1.0,0.75,11.0,52.854587129614686
2.3596042763255687,0.06596859635639511,11.062312760474546,8,50.0,1.0,0.0,0.5,26.0,73.92880323419219
7.54050308952735,0.24368720535650695,9.701358337338988,8,50.0,1.0,1.0,1.0,11.0,46.96200059696867
7.515351861619671,0.17368283630614642,10.834211462341994,8,50.0,0.0,0.0,0.5,6.0,43.59384331208069
31.018152378109114,0.8554486695235606,5.45468751435361,8,50.0,2.0,0.0,0.5,2.0,99.9425711436512
2.9693969845000856,0.08550972190608837,11.046398275258403,8,50.0,1.0,1.0,0.75,11.0,26.566039700155756
10.051381470000537,0.24803764446969565,9.947020154132447,8,50.0,0.0,0.0,0.5,6.0,41.22488967115222
6.2959652823218,0.2957887271502859,9.265822762280829,8,50.0,2.0,0.0,1.0,10.0,47.58278207947903
5.647066434949784,0.2934651946692374,9.763139009796175,8,50.0,1.0,0.0,1.0,22.0,63.2890001835587
8.59743358626248,0.24450526364591163,9.547869983357023,8,50.0,2.0,0.0,1.0,8.0,42.842646731052106
15.354492523471825,0.5861246610559573,6.95654870705311,8,50.0,2.0,1.0,0.75,11.0,54.984786091514984
14.537993124274362,0.4984994187040288,8.528171562624047,8,50.0,1.0,0.0,1.0,22.0,62.05057800336015
23.45959771910242,0.8729811124069763,6.317827848243484,8,50.0,0.0,0.0,0.5,25.0,79.54447151381316
5.4590400579549,0.1503018463667793,10.454237863015212,8,50.0,2.0,1.0,0.5,11.0,53.08789733159075
35.8590251162802,0.8290326839539263,5.632791944626105,8,50.0,2.0,1.0,0.75,11.0,61.260918971346754
3.1771152192289436,0.07175547932867138,11.065599886987709,8,50.0,1.0,0.0,0.75,13.0,32.22113360519129
4.173074862837234,0.08586948480825547,11.318966843479059,8,50.0,0.0,0.0,1.0,21.0,43.71523012683719
0.5362691682929185,0.04570165250715368,11.289582805271692,8,50.0,2.0,1.0,0.5,11.0,52.45156358978952
9.299849460513029,0.16395489883544584,9.97972434874716,8,50.0,1.0,0.0,0.5,10.0,55.16882242174304
24.241146610636026,0.6243316983087369,7.348467421369309,8,50.0,1.0,0.0,1.0,21.0,112.49892613929046
12.892215043923494,0.42906876574639624,7.7723202539788465,8,50.0,1.0,0.0,0.75,10.0,51.38520065986719
6.473804417333377,0.13585557102177337,11.091230585991026,8,50.0,0.0,0.0,0.5,6.0,42.33620508197599
12.72364099513918,0.3586978624081317,8.562356329910816,8,50.0,2.0,0.0,1.0,8.0,53.03514717039696
4.34140971978557,0.19460421825718793,10.494016089848666,8,50.0,2.0,0.0,0.5,5.0,33.664721874110754
3.493691031129542,0.08013099149405883,10.960152567036802,8,50.0,2.0,0.0,0.75,17.0,55.06175588225924
4.558632871837463,0.1441154343439672,10.762518334751189,8,50.0,1.0,0.0,1.0,21.0,50.743110260193234
4.5275956490549785,0.15018093141980826,11.153015136772357,8,50.0,2.0,1.0,1.0,11.0,87.8385452532321
28.708307023131482,0.5230427027592863,7.155477586987079,8,50.0,1.0,0.0,0.9,5.0,113.28589117284211
8.460854975342476,0.3099051158813947,8.827379913227428,8,50.0,1.0,0.0,0.75,10.0,62.98421862430205
0.8277866030628162,0.04589924642570493,11.665272484327787,8,50.0,1.0,1.0,0.75,11.0,49.092913774477836
1.6160765905716374,0.08001826782141497,11.089826981951925,8,50.0,0.0,0.0,0.5,6.0,41.42024148315655
18.092349640723715,0.4697865013055835,9.10786750432847,8,50.0,2.0,0.0,0.75,15.0,44.801977761561005
3.0378089265856723,0.20454024389883288,10.308851358013042,8,50.0,2.0,0.0,0.75,3.0,18.030754056025042
4.5091110044220875,0.16556515015171355,9.834362631113523,8,50.0,0.0,0.0,0.5,6.0,52.89819052298527
14.005242249415076,0.12123590332808698,11.100653627827885,8,50.0,2.0,0.0,0.75,5.0,71.56522562029917
1.4961675746595944,0.05603880738602117,11.246777182790371,8,50.0,2.0,0.0,0.5,5.0,27.190911245126117
5.704234872659982,0.16297129742424948,10.196129228164775,8,50.0,0.0,0.0,0.75,23.0,47.157893585465274
2.4314524004621556,0.1318823751039602,10.520139237765646,8,50.0,2.0,1.0,0.5,11.0,47.62192094769918
7.638398655938998,0.24752060913994925,9.686693542625875,8,50.0,0.0,0.0,0.75,23.0,43.23735334496438
7.112434656191035,0.2180727381608823,9.72531942220605,8,50.0,0.0,0.0,0.5,6.0,74.37817341089377
6.826221915646697,0.29205857890982134,10.625500986161603,8,50.0,1.0,0.0,0.5,16.0,53.651153499253596
17.90551931214631,0.1346811989666078,10.861394504502544,8,50.0,2.0,0.0,0.75,5.0,56.319023715878394
9.883947642355611,0.38113888956936853,7.993925730445297,8,50.0,1.0,0.0,0.75,10.0,61.85231435357986
7.019110233951023,0.30526823775032114,8.745092249926257,8,50.0,2.0,0.0,0.5,14.0,54.046964505824505
4.80025095557324,0.15042040840356596,10.611699819629232,8,50.0,0.0,0.0,0.5,6.0,38.89490265019025
9.428603512097517,0.27247678223051386,9.551706734408818,8,50.0,2.0,0.0,1.0,8.0,44.92004716453658
44.16314254367126,1.1559315880413608,5.480134371616226,8,50.0,1.0,0.0,0.9,5.0,124.55995679274758
25.621507170135605,0.7352182702501276,6.514242583527816,8,50.0,2.0,0.0,0.5,2.0,96.91049626553907
15.879768101748414,0.38160404647477825,8.641354651176805,8,50.0,2.0,0.0,0.5,5.0,77.66222406165272
4.333009381891389,0.11683400051717585,10.313918964849428,8,50.0,2.0,1.0,1.0,11.0,67.81745492770263
20.492225370550376,0.6013952621639913,7.922265897480233,8,50.0,1.0,0.0,1.0,22.0,63.472772520777895
12.66176011398325,0.38609262675367745,8.464602363065666,8,50.0,2.0,0.0,1.0,8.0,57.65054382062892
10.320373283449474,0.17332283406229612,10.737713703580598,8,50.0,0.0,0.0,0.5,27.0,66.01952121270584
12.088583976801138,0.32182283714754667,9.636503429546654,8,50.0,2.0,0.0,0.75,15.0,38.606049790935295
2.3944889748354568,0.08066109015056876,11.220289573946191,8,50.0,2.0,0.0,0.75,20.0,54.351707944462056
16.470628234797974,0.42070329673626544,9.027269066724752,8,50.0,2.0,0.0,0.5,5.0,56.63541251193601
10.32647503566581,0.4454598509050101,8.144934643437615,8,50.0,1.0,0.0,0.5,10.0,61.83703250561745
8.451692606274523,0.24776940729378397,9.573955300731505,8,50.0,2.0,0.0,0.5,2.0,40.314401767642174
6.994600275405934,0.28792238865481656,10.14621863475922,8,50.0,1.0,0.0,0.5,16.0,40.435096188408075
3.666994805555495,0.18705803138496685,10.266573948084815,8,50.0,0.0,0.0,0.5,27.0,65.91295751624631
5.683289893174905,0.14965361042002617,10.94161521219695,8,50.0,1.0,0.0,0.5,24.0,44.92423184254532
31.462243270779314,0.2747908376907889,9.352574546478282,8,50.0,2.0,0.0,0.5,8.0,71.8172645756
28.158940426522538,0.7091212002571915,7.277277584179152,8,50.0,2.0,1.0,1.0,11.0,121.3215112357389
3.2299694394727925,0.17667756632191953,10.563737567944647,8,50.0,2.0,0.0,1.0,10.0,36.331789131257885
4.37979989616099,0.2078399439493397,10.087244339376236,8,50.0,0.0,0.0,0.5,6.0,23.628461741339013
1.7705158699655403,0.08302777609416535,11.275850715541225,8,50.0,1.0,0.0,0.5,19.0,21.023593408905782
5.2144825346243096,0.25362068279657246,9.232336516342038,8,50.0,2.0,0.0,0.5,10.0,50.174285585192024
8.886656713510886,0.3873041032062937,8.881795917787066,8,50.0,1.0,0.0,0.5,16.0,47.73885420856507
1.9819049012353163,0.08239777000592965,10.927512353952043,8,50.0,2.0,0.0,0.5,2.0,42.25989111597391
12.661370192235056,0.27108173631591026,9.22714274883421,8,50.0,2.0,1.0,0.5,11.0,97.37240418442835
4.355509863671382,0.12482987341277754,10.70331299088946,8,50.0,0.0,0.0,0.75,23.0,45.37020022195071
4.363981276394345,0.09327360198752634,10.942043876109903,8,50.0,0.0,0.0,0.5,6.0,46.325857933528006
14.292555308373325,0.3413776548787444,9.39204454220115,8,50.0,2.0,0.0,0.75,15.0,36.86284970669383
12.739571712304999,0.46191338849262875,7.552403780813807,8,50.0,2.0,0.0,1.0,8.0,58.39188646471015
3.20415800548343,0.04635902204201021,11.818901539241352,8,50.0,2.0,0.0,0.5,7.0,9.626793028067073
11.509431538331139,0.3543960079540018,10.452745465116276,8,50.0,1.0,1.0,0.75,11.0,63.92415439496848
28.89101751439647,0.9261868775798221,6.313151492741426,8,50.0,1.0,0.0,0.75,10.0,72.52255973640091
34.17490470635256,1.3825002856153892,3.2353755778747,8,50.0,2.0,0.0,0.75,8.0,128.82750892366775
5.295229608754002,0.2786105216838152,10.023088527232856,8,50.0,2.0,0.0,1.0,10.0,52.87620153334145
15.235361511912792,0.5075493188433643,7.8458391971886385,8,50.0,2.0,1.0,0.5,11.0,65.06229959381236
31.64912810024284,0.9889068418409437,7.919296884002797,8,50.0,2.0,0.0,1.0,4.0,69.04941715409647
0.0,0.0,11.935529478747219,8,50.0,1.0,0.0,0.75,24.0,52.980564965225994
20.293109224697265,0.5900154916763718,7.7174468673052825,8,50.0,2.0,0.0,0.75,5.0,69.20019165183629
3.475675616248146,0.15551900597711343,10.570960818156596,8,50.0,0.0,0.0,1.0,21.0,50.509556719782054
4.794414433372256,0.26698154543056063,10.447207955198632,8,50.0,1.0,0.0,1.0,22.0,42.174579635763614
6.857808395144206,0.17091341330833207,10.608474220483952,8,50.0,0.0,0.0,0.5,6.0,56.6222751950824
6.885619256568251,0.27767958159820305,8.883943999902382,8,50.0,1.0,0.0,0.5,10.0,53.92204105108351
1.3032544121599516,0.018262052098105174,11.81722585972068,8,50.0,0.0,0.0,0.5,6.0,27.97831550262924
13.11495130232941,0.4475398767391649,8.562825087599125,8,50.0,2.0,0.0,0.75,3.0,25.947503278612366
10.674998244430933,0.44600925743891984,7.567474532973987,8,50.0,1.0,0.0,0.5,10.0,52.24270322773407
